time,soft_counts,hard_counts
59128.499965,0.013877,0.005417
59129.499965,-0.038784,-0.004242
59130.499965,0.001965,-0.000279
59131.499965,-0.003332,0.013611
59132.499965,0.01883,0.002037
59133.499965,0.015894,0.007306
59134.499965,0.001887,0.008091
59135.499965,0.02642,0.008442
59136.499965,0.005766,0.009217
59137.499965,0.017354,0.002584
59138.499965,0.034741,0.011284
59139.499965,0.02784,0.007949
59140.499965,-0.017904,-0.023013
59141.499965,0.025955,0.005115
59142.499965,-0.024072,-0.005829
59143.499965,0.008878,0.003293
59144.499965,0.036482,0.018306
59178.499965,0.009063,-0.00033
59179.499965,-0.023176,0.003848
59180.499965,-0.018833,0.002096
59181.499965,0.00449,0.013738
59182.499965,-0.011145,-0.011913
59183.499965,-0.024202,-0.005452
59184.499965,0.031354,0.014775
59185.499965,0.00714,0.031584
59186.499965,0.005043,0.007442
59187.499965,-0.035561,0.000497
59188.499965,0.035494,-0.004523
59189.499965,-0.010106,0.01
59190.499965,-0.000306,0.00688
59191.499965,0.022038,0.008979
59192.499965,-0.004127,-0.000337
59193.499965,0.015579,0.008961
59194.499965,0.010985,0.003211
59195.499965,0.000639,0.003278
59196.499965,-0.030676,-0.010258
59197.499965,-0.014264,0.003279
59198.499965,-0.023221,0.011635
59199.499965,-0.013829,0.008487
59200.499965,-0.014696,-0.012708
59201.499965,0.017179,-0.003624
59202.499965,-0.024284,0.009352
59203.499965,0.003873,0.003082
59204.499965,0.003346,0.020392
59205.499965,-0.00407,0.000497
59206.499965,0.021905,0.009305
59207.499965,-0.017597,-0.002293
59208.499965,0.005965,-0.001499
59209.499965,0.022472,0.005497
59210.499965,-0.008627,0.002136
59211.499965,-0.019732,-0.001605
59212.499965,0.0338,-0.006577
59213.499965,0.040046,0.008215
59214.499965,-0.021178,0.001311
59215.499965,-0.006905,-0.005212
59216.499965,0.019044,-0.00308
59217.499965,-0.01255,-0.014677
59218.499965,-0.034464,-0.014153
59219.499965,0.009886,0.005388
59220.499965,0.002051,0.000834
59221.499965,0.050672,0.012582
59222.499965,0.030705,0.010143
59223.499965,0.057693,0.012947
59250.499965,-0.014907,-0.014829
59251.499965,0.017087,-0.002183
59252.499965,-0.01491,0.015319
59253.499965,0.011094,-0.001287
59254.499965,0.013601,-0.002075
59255.499965,-0.007862,-0.003773
59256.499965,0.019694,-0.00436
59257.499965,0.003345,0.021167
59258.499965,-0.015402,0.009969
59259.499965,-0.011449,-0.008231
59260.499965,0.000428,-0.007049
59261.499965,0.021286,0.012693
59262.499965,-0.000969,0.003752
59263.499965,-0.002802,0.004105
59264.499965,-0.007117,-0.003526
59265.499965,-0.007744,-0.008987
59266.499965,-0.002968,-0.007937
59267.499965,-0.004316,0.004774
59268.499965,-0.003653,0.000523
59269.499965,-0.008409,-3.2e-05
59270.499965,-0.000446,0.00488
59271.499965,0.009819,0.004179
59272.499965,-0.021403,0.007126
59273.499965,-0.018918,-0.011091
59274.499965,-0.025264,-0.004644
59275.499965,-0.009056,-0.000914
59276.499965,0.029948,0.000539
59277.499965,-0.008882,0.00502
59278.499965,-0.0067,0.00313
59279.499965,0.031648,0.008626
59280.499965,-0.028863,0.002403
59281.499965,0.02818,0.001002
59282.499965,-0.005431,-0.012011
59283.499965,0.019872,-0.000173
59284.499965,-0.004036,-0.000808
59285.499965,-0.017136,-0.011199
59286.499965,0.003665,0.005692
59287.499965,-0.001915,0.005822
59288.499965,0.015979,0.00977
59289.499965,0.019838,0.00663
59290.499965,-0.008332,-0.000777
59291.499965,-0.020851,-0.00138
59292.499965,-0.004741,-0.001907
59293.499965,0.019535,0.013792
59294.499965,-0.017538,-0.005083
59295.499965,-0.022654,-0.010345
59296.499965,-0.014302,-0.001425
59320.499965,0.046723,0.033334
59321.499965,-0.003681,-0.026997
59322.499965,0.014597,0.012138
59324.499965,0.012243,-0.000583
59325.499965,0.003748,0.003638
59326.499965,0.005143,-0.007149
59327.499965,-0.020089,-0.000364
59328.499965,0.001802,-0.000171
59329.499965,-0.019819,-0.012291
59330.499965,0.046031,-0.002504
59331.499965,-0.008083,0.000224
59332.499965,0.003566,0.000642
59333.499965,0.001744,0.000613
59334.499965,0.015899,0.009356
59335.499965,-0.015376,-0.004753
59336.499965,0.026326,0.004229
59337.499965,0.021003,-0.000828
59338.499965,0.012216,2.7e-05
59339.499965,0.016496,0.001283
59340.499965,-0.018474,0.003172
59341.499965,-0.023867,0.00257
59342.499965,0.005916,-0.003167
59343.499965,0.001095,0.00068
59344.499965,0.015748,-0.006189
59347.499965,-0.019913,-0.001836
59348.499965,-0.025142,-0.006428
59349.499965,-0.008998,0.010269
59350.499965,0.020345,-0.000244
59351.499965,0.009663,0.002433
59352.499965,0.011925,-0.01108
59353.499965,-0.007311,0.001272
59354.499965,0.013477,-0.002243
59355.499965,-0.014457,0.002783
59356.499965,0.008948,0.003952
59357.499965,0.008573,0.008986
59358.499965,0.097708,0.00679
59359.499965,0.007904,-0.005315
59360.499965,0.000495,-0.007553
59361.499965,0.004838,0.001145
59362.499965,-0.002274,-0.00612
59363.499965,-0.025307,0.003138
59364.499965,-0.000481,0.004291
59365.499965,-0.010796,-0.012601
59366.499965,-0.018474,-0.010835
59367.499965,-0.039744,0.001954
59368.499965,-0.037488,0.009371
59393.499965,0.039434,-0.019744
59394.499965,0.028101,0.015779
59395.499965,-0.021404,-0.000234
59396.499965,-0.016084,0.01466
59397.499965,-0.02049,0.002278
59398.499965,0.017526,0.002056
59399.499965,0.007983,9e-05
59400.499965,-0.004647,0.001173
59401.499965,-0.005604,-0.002001
59402.499965,0.014073,-0.012547
59403.499965,-0.021707,-0.025411
59404.499965,0.033038,0.013075
59405.499965,-0.029595,-0.006184
59406.499965,0.013137,-0.005891
59407.499965,0.034915,-0.003581
59408.499965,-0.024049,0.004722
59409.499965,0.015343,0.002254
59410.499965,-0.007581,6.7e-05
59411.499965,-0.037801,-0.001647
59412.499965,-0.01765,-0.00101
59413.499965,0.012328,-0.022861
59414.499965,-0.014674,-0.008893
59415.499965,0.003767,0.001944
59416.499965,-0.011279,0.001277
59417.499965,-0.000541,0.007305
59418.499965,-0.040442,0.00174
59419.499965,0.024509,0.013603
59420.499965,0.010258,-0.00536
59421.499965,-0.004414,-0.007965
59422.499965,0.004557,0.00245
59423.499965,0.064684,0.006931
59424.499965,0.009235,0.008264
59425.499965,0.010558,0.000752
59426.499965,-0.026775,0.003075
59427.499965,0.013799,0.002637
59428.499965,-0.006195,-0.000137
59429.499965,0.0179,0.010643
59430.499965,0.018418,0.006739
59431.499965,-0.008856,0.019919
59432.499965,0.010412,0.008934
59433.499965,-0.071032,-0.013151
59434.499965,0.034219,-0.003161
59435.499965,0.012989,0.001535
59436.499965,0.010143,0.003985
59437.499965,0.01215,0.015864
59438.499965,0.000834,-0.004378
59439.499965,-0.054054,-0.008441
59440.499965,-0.015104,0.006488
59441.499965,-0.003006,0.001675
59466.499965,-0.038409,0.001831
59467.499965,0.014935,0.013972
59468.499965,-0.036671,-0.021105
59469.499965,0.000416,-0.000598
59470.499965,0.030053,0.009026
59471.499965,-0.016151,-0.000912
59472.499965,0.014971,0.002964
59473.499965,0.009406,0.009181
59474.499965,-0.008086,0.008149
59475.499965,0.023526,-0.000482
59476.499965,-0.03028,0.012171
59477.499965,-0.010782,0.001026
59478.499965,0.042129,0.003705
59479.499965,-0.011985,0.016236
59480.499965,0.01063,0.011126
59481.499965,0.027596,0.010465
59482.499965,0.016421,-0.008945
59483.499965,0.01657,0.017616
59484.499965,0.039724,0.002446
59485.499965,-0.001676,0.004452
59486.499965,-0.003203,-0.004898
59487.499965,-0.002143,0.004723
59488.499965,0.000225,0.002075
59489.499965,-0.003752,0.008581
59490.499965,0.022924,0.016084
59491.499965,0.027517,0.003363
59492.499965,0.017816,0.012429
59493.499965,0.027973,0.017665
59494.499965,0.01285,0.015758
59495.499965,0.007931,0.005499
59496.499965,0.009899,0.001971
59497.499965,0.003699,-0.009865
59498.499965,0.022883,0.002776
59499.499965,-0.005154,-0.005871
59500.499965,0.014918,0.009938
59501.499965,0.029022,-0.000915
59502.499965,-0.00742,0.002792
59503.499965,0.010279,-0.002345
59504.499965,0.038657,0.032872
59505.499965,-0.005399,-0.004376
59506.499965,-0.004547,-0.001144
59507.499965,-0.03231,-0.001876
59508.499965,-0.001853,0.015849
59509.499965,0.008109,-0.001274
59542.499965,0.079582,0.045149
59543.499965,-0.006725,0.011588
59544.499965,-0.017103,-0.003501
59545.499965,0.031263,0.010856
59546.499965,0.001555,0.001038
59547.499965,-0.030562,-0.008756
59548.499965,0.024283,0.007191
59549.499965,0.060765,-0.014015
59550.499965,-0.000142,0.000372
59551.499965,-0.001431,-9.4e-05
59552.499965,0.005441,0.006639
59553.499965,-0.002405,-0.002651
59554.499965,-0.030684,-0.000257
59555.499965,-0.002905,0.011515
59556.499965,-0.015976,-0.00166
59557.499965,0.048662,0.012694
59558.499965,0.02455,0.00582
59559.499965,-0.012541,-0.012634
59560.499965,-0.010794,-0.001848
59561.499965,0.044005,0.011438
59562.499965,0.004937,0.017507
59563.499965,-0.012727,0.006279
59564.499965,-0.009522,-0.008073
59565.499965,0.028915,0.001921
59566.499965,-0.006978,-0.003136
59567.499965,0.023738,0.00997
59568.499965,0.006213,0.002304
59569.499965,0.011527,0.013834
59570.499965,-0.009002,-0.0005
59571.499965,0.010184,0.004598
59572.499965,-0.01768,-0.005573
59573.499965,0.000332,-0.003308
59574.499965,-0.012384,-0.004733
59575.499965,0.028985,-0.010157
59576.499965,0.005463,0.003885
59577.499965,0.014871,0.010382
59578.499965,0.031082,0.022051
59579.499965,0.029039,0.004919
59580.499965,0.019451,0.009142
59581.499965,-0.006076,0.007945
59582.499965,-0.048829,0.004023
59583.499965,0.020681,-0.005229
59584.499965,0.019637,0.013597
59585.499965,0.007263,0.009024
59586.499965,0.028115,-0.000251
59614.499965,-0.042925,0.021383
59615.499965,0.00887,-0.007448
59616.499965,0.040973,0.013509
59617.499965,0.007301,0.004912
59618.499965,-0.007129,-0.013288
59619.499965,-0.009081,0.004146
59620.499965,-0.023484,-0.01151
59621.499965,-0.009652,0.010644
59622.499965,-0.030379,-0.019105
59623.499965,-0.005125,0.008349
59624.499965,-0.010218,0.003948
59625.499965,-0.00968,-0.004179
59626.499965,0.001547,2.8e-05
59627.499965,0.01555,0.002776
59628.499965,-0.019306,-0.00772
59629.499965,0.008425,-0.007563
59630.499965,0.016557,-0.000573
59631.499965,0.006562,0.022315
59632.499965,-0.010309,-0.003689
59633.499965,0.004546,0.00091
59634.499965,-0.039264,0.003653
59635.499965,-0.005818,0.007823
59636.499965,0.009171,-0.009576
59638.499965,0.042932,0.008723
59639.499965,0.001014,0.004784
59640.499965,-0.005907,-0.001441
59641.499965,-0.021858,-0.003805
59642.499965,-0.031511,0.009794
59643.499965,0.038477,0.011812
59644.499965,-6.1e-05,0.008596
59645.499965,-0.018659,0.002562
59646.499965,-0.001977,0.008675
59647.499965,0.024182,0.017676
59648.499965,0.011092,0.005205
59649.499965,-0.01208,0.005099
59650.499965,-0.005177,-0.011223
59651.499965,0.010929,0.002599
59652.499965,0.006946,0.019237
59653.499965,0.012525,0.015817
59654.499965,0.022098,0.002156
59655.499965,-0.001283,0.007675
59656.499965,-0.004813,-0.002726
59657.499965,-0.005236,-0.000869
59658.499965,-0.01083,0.003676
59659.499965,-0.029451,0.014674
59660.499965,-0.010652,-0.01828
59684.499965,-0.026832,-0.009858
59685.499965,-0.03792,-0.004404
59686.499965,-0.038794,-0.008143
59687.499965,0.01234,0.019681
59688.499965,-0.014702,0.011154
59689.499965,0.009312,-0.003795
59690.499965,0.019659,-0.001435
59691.499965,-0.00764,-0.002141
59692.499965,-0.001331,0.008188
59693.499965,0.010786,-0.009894
59694.499965,-0.04482,-0.008061
59695.499965,0.001245,0.004524
59696.499965,-0.005004,0.007619
59697.499965,-0.006489,-0.002182
59698.499965,0.020786,0.001119
59699.499965,0.004641,-0.001513
59700.499965,0.021001,-0.004115
59701.499965,0.022806,0.005964
59702.499965,-0.007896,-0.010666
59703.499965,-0.003144,-0.001937
59704.499965,-0.003199,0.004038
59705.499965,0.028682,0.009962
59706.499965,0.017683,0.007194
59707.499965,0.012329,0.003737
59708.499965,0.014907,-0.016205
59711.499965,0.014549,-0.001318
59712.499965,-0.00776,-0.00205
59713.499965,-0.019328,0.00218
59714.499965,0.001536,-0.004862
59715.499965,-0.004968,0.016798
59716.499965,0.005569,-7.4e-05
59717.499965,-0.00247,0.004031
59718.499965,0.009003,0.003258
59719.499965,0.001019,-0.00229
59720.499965,-0.008646,0.011063
59721.499965,0.009557,-0.000228
59722.499965,-0.008544,0.004041
59723.499965,0.006069,-0.000755
59724.499965,0.009282,0.002391
59725.499965,0.014722,0.007154
59726.499965,-0.011551,0.005881
59727.499965,0.007496,-0.002121
59728.499965,-0.005971,-0.003336
59729.499965,0.010023,0.011468
59730.499965,0.020367,0.012628
59731.499965,0.030724,0.009333
59732.499965,-0.005545,0.003317
59749.499965,0.016215,-0.002472
59750.499965,-0.008852,0.001873
59751.499965,-0.001447,0.00501
59755.499965,0.001858,-0.000836
59756.499965,-0.010092,-0.000567
59757.499965,0.009734,0.008753
59758.499965,0.016744,-0.013873
59759.499965,0.002916,0.003539
59760.499965,0.023306,0.012549
59761.499965,0.007193,0.002058
59762.499965,-0.003718,-0.004473
59763.499965,0.021544,0.00398
59764.499965,0.012956,-0.003025
59765.499965,-0.029686,-0.002484
59766.499965,0.026069,0.01035
59767.499965,-0.002773,0.000688
59768.499965,0.010546,0.006395
